mod  ch  ts_offset    ch_low  ch_high
0    0       0          0      65535
0    1       0          0      65535
0    2       0          0      65535
0    3       0          0      65535
0    4       0          0      65535
0    5       0          0      65535
0    6       0          0      65535
0    7       0          0      65535
0    8       0          0      65535
0    9       0          0      65535
0   10       0          0      65535
0   11       0          0      65535
0   12       0          0      65535
0   13       0          0      65535
0   14       0          0      65535
0   15       0          0      65535
